Fuente de Financiación,Situacion de Fondos,Recurso Presupuestal,Codigo del Sector,Nombre del Sector,Codigo Entidad,Nombre Entidad,Apropiación Vigente,Compromisos,Obligaciones,Pagos
Nación,CSF,DONACIONES,29,TRABAJO,36-01-01,MINISTERIO DEL TRABAJO - GESTION GENERAL,6916157754.0,4083154062.0,1187892413.0,1187892413.0
Nación,CSF,DONACIONES,3,AMBIENTE Y DESARROLLO SOSTENIBLE,32-01-01,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE - GESTION GENERAL,4300000000.0,4300000000.0,4093660000.0,4093660000.0
Nación,CSF,DONACIONES,33,"VIVIENDA, CIUDAD Y TERRITORIO",40-01-01,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO - GESTION GENERAL",13963000000.0,0.0,0.0,0.0
Nación,CSF,DONACIONES,33,"VIVIENDA, CIUDAD Y TERRITORIO",40-02-00,FONDO NACIONAL DE VIVIENDA - FONVIVIENDA,10982036382.0,0.0,0.0,0.0
Nación,CSF,DONACIONES,4,CULTURA,33-01-01,"MINISTERIO DE LAS CULTURAS, LAS ARTES Y LOS SABERES - GESTION GENERAL",1456610353.0,159185775.0,0.0,0.0
Nación,CSF,FONDO ESPECIAL FAZNI,7,MINAS Y ENERGIA,21-01-01,MINISTERIO DE MINAS Y ENERGIA - GESTION GENERAL,144570000000.0,4905454666.0,3384281051.0,3364981051.0
Nación,CSF,FONDOS ESPECIALES,15,INTERIOR,37-01-01,MINISTERIO DEL INTERIOR - GESTION GENERAL,544959000000.0,335338000000.0,68852104806.0,68671786205.0
Nación,CSF,FONDOS ESPECIALES,15,INTERIOR,37-09-00,DIRECCION NACIONAL DE BOMBEROS,62050000000.0,43830543314.0,36182504530.0,36182504530.0
Nación,CSF,FONDOS ESPECIALES,17,ORGANISMOS DE CONTROL,26-01-01,CONTRALORIA GENERAL DE LA REPUBLICA - GESTION GENERAL,1224690000000.0,801191000000.0,773623000000.0,773359000000.0
Nación,CSF,FONDOS ESPECIALES,17,ORGANISMOS DE CONTROL,26-02-00,FONDO DE BIENESTAR SOCIAL DE LA CONTRALORÍA GENERAL DE LA REPÚBLICA,29434000000.0,20879205035.0,16844893529.0,16818401385.0
Nación,CSF,FONDOS ESPECIALES,2,EDUCACION,22-01-01,MINISTERIO EDUCACION NACIONAL - GESTION GENERAL,110000000000.0,110000000000.0,110000000000.0,110000000000.0
Nación,CSF,FONDOS ESPECIALES,25,RAMA JUDICIAL,27-01-02,RAMA JUDICIAL - CONSEJO SUPERIOR DE LA JUDICATURA,670405000000.0,390666000000.0,167124000000.0,162780000000.0
Nación,CSF,FONDOS ESPECIALES,26,FISCALIA,29-01-01,FISCALIA GENERAL DE LA NACION - GESTION GENERAL,151786000000.0,148271000000.0,100595000000.0,98661161706.0
Nación,CSF,FONDOS ESPECIALES,27,JUSTICIA Y DEL DERECHO,12/1/2001,MINISTERIO DE JUSTICIA Y DEL DERECHO - GESTION GENERAL,44445200000.0,42374168521.0,17839314485.0,17839314485.0
Nación,CSF,FONDOS ESPECIALES,27,JUSTICIA Y DEL DERECHO,12/11/2000,UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC,498886000000.0,276518000000.0,73813805369.0,73813805369.0
